wl,mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm)
752.0,5.530289983335524,6.972974326814356,5.046234919169405,6.362644028517945,4.562179855003285,5.752313730221533,4.078124790837166,5.141983431925122,3.594069726671047,4.531653133628711
753.0,5.607174961608662,7.069916255941354,5.116620919128364,6.451391593683589,4.626066876648066,5.832866931425822,4.135512834167769,5.214342269168056,3.644958791687472,4.595817606910289
754.0,5.638400870566394,7.109288054192408,5.148803752394039,6.491969948670744,4.6592066342216825,5.874651843149078,4.169609516049328,5.2573337376274125,3.6800123978769728,4.640015632105748
755.0,5.679969316400372,7.161700442417859,5.1892334419926325,6.542946513816797,4.698497567584893,5.924192585215733,4.207761693177153,5.30543865661467,3.7170258187694127,4.686684728013607
756.0,5.720536338480429,7.212850165910105,5.228413094728443,6.592346945527166,4.736289850976457,5.971843725144226,4.24416660722447,5.351340504761287,3.752043363472484,4.730837284378349
757.0,5.739200482310409,7.236383216826167,5.248968429220409,6.618264541190951,4.758736376130409,6.000145865555734,4.2685043230404105,5.382027189920517,3.7782722699504117,4.763908514285301
758.0,5.744175884752045,7.242656550339535,5.257962527567964,6.629604926063953,4.771749170383882,6.016553301788372,4.2855358131998,5.403501677512791,3.799322456015718,4.790450053237209
759.0,5.745633601943137,7.244494541580476,5.264079026072275,6.637317032873737,4.782524450201412,6.030139524166996,4.30096987433055,5.422962015460257,3.8194152984596874,4.815784506753518
760.0,5.732456775767849,7.227880282489895,5.258046414360973,6.629710696368183,4.7836360529540976,6.03154111024647,4.309225691547223,5.433371524124759,3.834815330140348,4.835201938003046
761.0,5.693351480872076,7.178573606316965,5.230399283440096,6.594851270424467,4.767447086008115,6.011128934531969,4.304494888576134,5.427406598639473,3.8415426911441535,4.843684262746976
762.0,5.637603437202256,7.1082825947332795,5.188851776502821,6.5424652834165995,4.740100115803385,5.976647972099919,4.2913484551039485,5.410830660783239,3.8425967944045123,4.845013349466559
763.0,5.5774972845486435,7.032496576170029,5.143648555316867,6.4854699175734405,4.70979982608509,5.938443258976852,4.275951096853314,5.391416600380264,3.842102367621537,4.844389941783676
764.0,5.516733696776199,6.955881617674336,5.097976803760947,6.42788379604641,4.679219910745694,5.899885974418482,4.260463017730441,5.3718881527905555,3.8417061247151887,4.843890331162628
765.0,5.456556600669044,6.880006148669664,5.052979166008566,6.371147644097755,4.649401731348086,5.862289139525847,4.245824296687608,5.35343063495394,3.842246862027128,4.844572130382031
766.0,5.396966900613211,6.804871309468831,5.008677605301397,6.315289154510458,4.6203883099895835,5.825706999552083,4.23209901467777,5.336124844593709,3.8438097193659564,4.846542689635336
