wl,C,H,I,K
656,0.0545886353008602,0.0545886353008602,0.0545886353008602,0.0320254015434791
657,0.0541412144994087,0.0541412144994087,0.0541412144994087,0.0315024962671268
658,0.0536241941596351,0.0536241941596351,0.0536241941596351,0.0310857925513812
659,0.0537292284920587,0.0537292284920587,0.0537292284920587,0.0311936490485021
660,0.0536674918837194,0.0536674918837194,0.0536674918837194,0.0311514112850723
661,0.0533646091232976,0.0533646091232976,0.0533646091232976,0.0308221998344631
662,0.05410204185608,0.05410204185608,0.05410204185608,0.0316204921233275
663,0.0534740327051363,0.0534740327051363,0.0534740327051363,0.0310085603005166
664,0.0532627033669116,0.0532627033669116,0.0532627033669116,0.0307430667835899
665,0.0534733891179297,0.0534733891179297,0.0534733891179297,0.0310518315521258
666,0.0541164060152069,0.0541164060152069,0.0541164060152069,0.0317567066033159
667,0.0535651115423386,0.0535651115423386,0.0535651115423386,0.0311956042771673
668,0.0535432659672391,0.0535432659672391,0.0535432659672391,0.0311729957386276
669,0.0532117319626567,0.0532117319626567,0.0532117319626567,0.0308430280941986
670,0.0530381919937168,0.0530381919937168,0.0530381919937168,0.030675139626914
671,0.0530699721066885,0.0530699721066885,0.0530699721066885,0.0308146788959706
672,0.0539981640725398,0.0539981640725398,0.0539981640725398,0.0317530025574447
673,0.0530260608135926,0.0530260608135926,0.0530260608135926,0.0308122018316137
674,0.0531656657759797,0.0531656657759797,0.0531656657759797,0.0309173581604363
675,0.0534724427275074,0.0534724427275074,0.0534724427275074,0.0312244516431952
676,0.0529703719369013,0.0529703719369013,0.0529703719369013,0.0308197336414666
677,0.0523917380282005,0.0523917380282005,0.0523917380282005,0.0302217943091627
678,0.053375846330668,0.053375846330668,0.053375846330668,0.0311763255891395
679,0.0529586376883357,0.0529586376883357,0.0529586376883357,0.0309590520392746
680,0.0525257502551325,0.0525257502551325,0.0525257502551325,0.0304639516259524
681,0.0525006584980523,0.0525006584980523,0.0525006584980523,0.030496301457702
682,0.0526521767183899,0.0526521767183899,0.0526521767183899,0.030669337104116
683,0.0525272855710145,0.0525272855710145,0.0525272855710145,0.0304442442883248
684,0.0518630113743879,0.0518630113743879,0.0518630113743879,0.0297592790938503
685,0.0532396312559959,0.0532396312559959,0.0532396312559959,0.031167921279403
686,0.0525719665226838,0.0525719665226838,0.0525719665226838,0.0306175086904313
687,0.0520580854203326,0.0520580854203326,0.0520580854203326,0.0301192370581055
688,0.0524836648219181,0.0524836648219181,0.0524836648219181,0.0306810945139534
689,0.0526657260152092,0.0526657260152092,0.0526657260152092,0.0308409564544011
690,0.0516004000687654,0.0516004000687654,0.0516004000687654,0.0298446597537729
691,0.0524944183094426,0.0524944183094426,0.0524944183094426,0.0306722441956695
692,0.0521386699267884,0.0521386699267884,0.0521386699267884,0.0303501723896924
693,0.0514804816469483,0.0514804816469483,0.0514804816469483,0.0298329290337775
694,0.0524527603611998,0.0524527603611998,0.0524527603611998,0.0306678546599839
695,0.0528062869598452,0.0528062869598452,0.0528062869598452,0.0310482585699633
696,0.0516159629126966,0.0516159629126966,0.0516159629126966,0.0300640454341929
697,0.0532632052084656,0.0532632052084656,0.0532632052084656,0.0315761916496323
698,0.0523217043793728,0.0523217043793728,0.0523217043793728,0.0306299044788356
699,0.0521457228251225,0.0521457228251225,0.0521457228251225,0.0305079154486942
700,0.0527053108954114,0.0527053108954114,0.0527053108954114,0.0309729904556075
701,0.0525699495262956,0.0525699495262956,0.0525699495262956,0.0309244828519439
702,0.0523226521572693,0.0523226521572693,0.0523226521572693,0.0305894440384834
703,0.0518260886921373,0.0518260886921373,0.0518260886921373,0.030216566677401
704,0.0527953202448875,0.0527953202448875,0.0527953202448875,0.0311882596258399
705,0.0516963094301352,0.0516963094301352,0.0516963094301352,0.0301308965742627
706,0.0527880917595746,0.0527880917595746,0.0527880917595746,0.0312643579991293
707,0.0522406502033276,0.0522406502033276,0.0522406502033276,0.0307610488175539
708,0.0522722839287614,0.0522722839287614,0.0522722839287614,0.0308354495777228
709,0.0527741061035796,0.0527741061035796,0.0527741061035796,0.0312480986531594
710,0.0523042410146635,0.0523042410146635,0.0523042410146635,0.0308938421071453
711,0.0518078710812431,0.0518078710812431,0.0518078710812431,0.0304535238839435
712,0.0520578165923907,0.0520578165923907,0.0520578165923907,0.0306663518373182
713,0.0518982462715629,0.0518982462715629,0.0518982462715629,0.0305155271657766
714,0.0520103541975535,0.0520103541975535,0.0520103541975535,0.0306838224513754
715,0.0521771541853144,0.0521771541853144,0.0521771541853144,0.0309437766380589
716,0.0520227606831519,0.0520227606831519,0.0520227606831519,0.0306303546300736
717,0.0516865122540369,0.0516865122540369,0.0516865122540369,0.0304290836852676
718,0.0519965132539629,0.0519965132539629,0.0519965132539629,0.03062374197036
719,0.0517769209350572,0.0517769209350572,0.0517769209350572,0.0305297279953158
720,0.0517116912419043,0.0517116912419043,0.0517116912419043,0.030483755372964
721,0.0515075250676365,0.0515075250676365,0.0515075250676365,0.0302762392454802
722,0.0525308129277628,0.0525308129277628,0.0525308129277628,0.0312709911666829
723,0.0519068031388296,0.0519068031388296,0.0519068031388296,0.0306692836703055
724,0.0520030106492082,0.0520030106492082,0.0520030106492082,0.0308692484424684
725,0.052093548090925,0.052093548090925,0.052093548090925,0.0309559144336417
726,0.0521878762116722,0.0521878762116722,0.0521878762116722,0.0311094027416126
727,0.0524286319972061,0.0524286319972061,0.0524286319972061,0.0312878232171902
