wl [nm],total cv [%],detector cv [%],phy + sys cv [%]
747.824,0.009466335780276301,0.005122441957708993,0.007960659614305952
747.99,0.00930148816900869,0.005087526408508907,0.007786832295672811
748.156,0.009222067305380968,0.005049670933964815,0.007716692869594299
748.322,0.009281970851658106,0.005068973244850379,0.007775634580792857
748.489,0.009282657872504433,0.005096018991208108,0.007758758123515311
748.655,0.009187412506000704,0.004942986053806116,0.007744381022864019
748.821,0.009041643402450221,0.004980490661558865,0.007546259218128976
748.987,0.00897450343696019,0.004898780512445197,0.007519551943493537
749.153,0.008861867824164869,0.004817350203019904,0.007438134064026588
749.319,0.008851405495009458,0.004739017308435991,0.007475900894703443
749.485,0.008791127867251013,0.004813475658644867,0.007356247770568275
749.651,0.008768327784951317,0.004896814594783924,0.007273567141964143
749.817,0.008785064428120184,0.004860568645820908,0.007317938879594807
749.982,0.008738640195293837,0.004887759854348249,0.007243868860562474
750.148,0.0088480758579339,0.0050026591697447465,0.007298071500000635
750.314,0.008903906690547437,0.005108390253973012,0.0072927294867620686
750.48,0.008826286648797662,0.0050496331307955025,0.007239098096525304
750.646,0.008889887396107136,0.005143600121564784,0.00725075690565497
750.811,0.009162978564929274,0.005228783852252052,0.007524625944708581
750.977,0.009140193521181126,0.004993632241691773,0.007655506164805682
751.142,0.00915084322064488,0.004899843579447953,0.007728483974607506
751.308,0.009270548772750282,0.005132281790809012,0.007720282259585592
751.474,0.009264269487181322,0.0050851089280921835,0.007743923832305948
751.639,0.00920956755531615,0.0049623273287830606,0.007758314381226419
751.804,0.009314469291800747,0.005024244203107149,0.007843233285797595
751.97,0.009277669371587426,0.005093342223636616,0.007754547953389149
752.135,0.009289354186035124,0.005047794686697733,0.007798196586041827
752.301,0.009160385935329092,0.004952575042964628,0.007706145010832519
752.466,0.00929379517707076,0.0050731409985143965,0.0077870321177285545
752.631,0.009207180080924112,0.004936989663156692,0.007771634198059614
752.797,0.009181575160931038,0.0049450091109816425,0.007736162312680259
752.962,0.009296750211409948,0.004898293645182167,0.007901663360262757
753.127,0.009276109827118429,0.004960207510774479,0.00783853015397782
753.292,0.009327336203165249,0.004950207746272574,0.007905355394643564
753.457,0.009304772445856698,0.0049336488248637655,0.00788910004639911
753.622,0.009455055544944108,0.005102719967275743,0.007959919867281564
753.787,0.009593612041974432,0.005182311051406876,0.008073477824233061
753.952,0.009407327453199202,0.0051338876846387825,0.007882956745614532
754.117,0.0093124007775433,0.004933295568857532,0.007898316470734744
754.282,0.009194446795550202,0.0050347927100541185,0.00769342019150061
754.447,0.009211166681469242,0.005079359428930872,0.007684119951272242
